"Órgão (Cod)";"Órgão";"UO (Cod)";"UO";"Função (Cod)";"Função";"Subfunção (Cod)";"Subfunção";"GND (Cod)";"GND";"Autorizado";"Pago";"RP Pago"
"26000";"MINISTERIO DA EDUCACAO";"26285";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"3";"OUTRAS DESPESAS CORRENTES";"25222157";"14580801.55";"13722320.68"
"26000";"MINISTERIO DA EDUCACAO";"26249";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"3";"OUTRAS DESPESAS CORRENTES";"0";"0";"163333.84"
"26000";"MINISTERIO DA EDUCACAO";"26418";"INSTITUTO FEDERAL DE PERNAMBUCO";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"3";"OUTRAS DESPESAS CORRENTES";"49799338";"29661026.28";"4257199.7"
"26000";"MINISTERIO DA EDUCACAO";"26278";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"330000";"230616.93";"884630.47"
"26000";"MINISTERIO DA EDUCACAO";"26256";"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"4";"INVESTIMENTOS";"16148772";"351261.83";"1013455.8"
"26000";"MINISTERIO DA EDUCACAO";"26271";"FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA";"12";"EDUCACAO";"126";"TECNOLOGIA DA INFORMACAO";"4";"INVESTIMENTOS";"0";"0";"0"
"26000";"MINISTERIO DA EDUCACAO";"26285";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"310000";"266176.05";"926476.12"
"26000";"MINISTERIO DA EDUCACAO";"26408";"INSTITUTO FEDERAL DO MARANHÃO";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"768608";"195091.69";"66932.75"
"26000";"MINISTERIO DA EDUCACAO";"26101";"MINISTÉRIO DA EDUCAÇÃO";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"4";"INVESTIMENTOS";"623736849";"43737801.67";"127884259.26"
"26000";"MINISTERIO DA EDUCACAO";"26230";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"1";"PESSOAL E ENCARGOS SOCIAIS";"47820428";"47092221.59";"0"
